titulo,autores,revista
"A Simple and Effective Method for High Quality Co-Extraction of Genomic DNA and Total RNA from Low Biomass Ectocarpus siliculosus, the Model Brown Alga","M Greco, CA Saez, MT Brown, MB Bitonti","PloS one 9 (5), e96470, 2014"
Variation in Patterns of Metal Accumulation in Thallus Parts of Lessonia trabeculata (Laminariales; Phaeophyceae): Implications for Biomonitoring,"CA Sáez, MG Lobos, EC Macaya, D Oliva, W Quiroz, MT Brown","PloS one 7 (11), e50170, 2012"
"Copper excess detoxification is mediated by a coordinated and complementary induction of glutathione, phytochelatins and metallothioneins in the green seaweed Ulva compressa","A Navarrete, A González, M Gómez, RA Contreras, P Díaz, G Lobos, ...","Plant physiology and biochemistry 135, 423-431, 2019"
Response differences between Ectocarpus siliculosus populations to copper stress involve cellular exclusion and induction of the phytochelatin biosynthetic pathway,"F Roncarati, CA Sáez, M Greco, M Gledhill, MB Bitonti, MT Brown","Aquatic Toxicology 159, 167-175, 2015"
Chile: environmental status and future perspectives,"MA Aguilera, JA Aburto, L Bravo, BR Broitman, RA García, CF Gaymer, ...","World seas: An environmental evaluation, 673-702, 2019"
"Copper-induced overexpression of genes encoding antioxidant system enzymes and metallothioneins involve the activation of CaMs, CDPKs and MEK1/2 in the marine alga Ulva compressa","D Laporte, N Valdés, A González, CA Sáez, A Zúñiga, A Navarrete, ...","Aquatic Toxicology 177, 433-440, 2016"
"Cadmium and/or copper excess induce interdependent metal accumulation, DNA methylation, induction of metal chelators and antioxidant defences in the seagrass Zostera marina","M Greco, CA Sáez, RA Contreras, F Rodríguez-Rojas, MB Bitonti, ...","Chemosphere 224, 111-119, 2019"
Assessment of the requirements within the environmental monitoring plans used to evaluate the environmental impacts of desalination plants in Chile,"I Sola, JL Sánchez-Lizaso, PT Muñoz, E García-Bartolomei, CA Sáez, ...","Water 11 (10), 2085, 2019"
"Copper-induced activation of TRP channels promotes extracellular calcium entry, activation of CaMs and CDPKs, copper entry and membrane depolarization in Ulva compressa","M Gómez, A González, CA Sáez, B Morales, A Moenne","Frontiers in plant science 6, 182, 2015"
Environmental assessment in a shallow subtidal rocky habitat: Approach coupling chemical and ecological tools,"CA Sáez, A Pérez-Matus, MG Lobos, D Oliva, JA Vásquez, M Bravo","Chemistry and Ecology 28 (1), 1-15, 2012"
Ecophysiological and metabolic responses to interactive exposure to nutrients and copper excess in the brown macroalga Cystoseira tamariscifolia,"PSM Celis-Plá, MT Brown, A Santillán-Sarmiento, N Korbee, CA Sáez, ...","Marine pollution bulletin 128, 214-222, 2018"
Copper stress induces antioxidant responses and accumulation of sugars and phytochelatins in Antarctic Colobanthus quitensis (Kunth) Bartl.,"RA Contreras, M Pizarro, H Köhler, CA Sáez, GE Zúñiga","Biological Research 51, 2018"
Changes in invertebrate assemblages inhabiting Lessonia spicata (Phaeophyceae) holdfasts after the 2010 earthquake-mediated coastal uplift in Chile,"KJ Ortega, CAS Avaria, EC Macaya","Revista de biología marina y oceanografía 49 (1), 129-134, 2014"
A novel field transplantation technique reveals intra-specific metal-induced oxidative responses in strains of Ectocarpus siliculosus with different pollution histories,"CA Sáez, A González, RA Contreras, AJ Moody, A Moenne, MT Brown","Environmental Pollution 199, 130-138, 2015"
"Oligo-carrageenan kappa increases NADPH, ascorbate and glutathione syntheses and TRR/TRX activities enhancing photosynthesis, basal metabolism, and growth in Eucalyptus trees","A González, F Moenne, M Gómez, CA Sáez, RA Contreras, A Moenne","Frontiers in plant science 5, 512, 2014"
"Enzymatic antioxidant defences are transcriptionally regulated in Es524, a copper-tolerant strain of Ectocarpus siliculosus (Ectocarpales, Phaeophyceae)","CA Sáez, K Ramesh, M Greco, MB Bitonti, MT Brown","Phycologia 54 (4), 425-429, 2015"
Metal assessment and cellular accumulation dynamics in the green macroalga Ulva lactuca,"FA Valdés, M Gabriela Lobos, P Díaz, CA Sáez","Journal of Applied Phycology 30 (1), 663-671, 2018"
MAPK pathway under chronic copper excess in green macroalgae (Chlorophyta): Involvement in the regulation of detoxification mechanisms,"F Rodríguez-Rojas, PSM Celis-Plá, L Méndez, F Moenne, PT Muñoz, ...","International journal of molecular sciences 20 (18), 4546, 2019"
Antifungal activity of eugenol analogues. Influence of different substituents and studies on mechanism of action,"H Carrasco, M Raimondi, L Svetaz, MD Liberto, MV Rodriguez, ...","Molecules 17 (1), 1002-1024, 2012"
Isolation and identification of compounds from bioactive extracts of Taraxacum officinale Weber ex FH Wigg.(Dandelion) as a potential source of antibacterial agents,"K Díaz, L Espinoza, A Madrid, L Pizarro, R Chamy","Evidence-Based Complementary and Alternative Medicine 2018, 2018"
New catechol derivatives of safrole and their antiproliferative activity towards breast cancer cells,"A Madrid Villegas, L Espinoza Catalán, I Montenegro Venegas, ...","Molecules 16 (6), 4632-4641, 2011"
"Design, synthesis, antifungal activity, and structure–activity relationship studies of chalcones and hybrid dihydrochromane–chalcones","M Mellado, L Espinoza, A Madrid, J Mella, E Chávez-Weisser, K Diaz, ...","Molecular diversity, 1-13, 2019"
Comparative study on the larvicidal activity of drimane sesquiterpenes and nordrimane compounds against Drosophila melanogaster til-til,"I Montenegro, L Pino, E Werner, A Madrid, L Espinoza, L Moreno, ...","Molecules 18 (4), 4192-4208, 2013"
Antioxidant activity of anthraquinones isolated from leaves of muehlenbeckia hastulata (je sm.) johnst.(polygonaceae),"M Mellado, A Madrid, H Pena-Cortes, R LóPez, C Jara, L Espinoza","Journal of the Chilean Chemical Society 58 (2), 1767-1770, 2013"
Synthesis of chalcones with antiproliferative activity on the SH-SY5Y neuroblastoma cell line: Quantitative Structure–Activity Relationship Models,"M Mellado, A Madrid, M Reyna, C Weinstein-Oppenheimer, J Mella, ...","Medicinal Chemistry Research 27 (11-12), 2414-2425, 2018"
Study on the cytotoxic activity of drimane sesquiterpenes and nordrimane compounds against cancer cell lines,"I Montenegro, G Tomasoni, C Bosio, N Quiñones, A Madrid, H Carrasco, ...","Molecules 19 (11), 18993-19006, 2014"
Chemical characterization and anti-oomycete activity of Laureliopsis philippianna essential oils against Saprolegnia parasitica and S. australis,"A Madrid, P Godoy, S González, L Zaror, A Moller, E Werner, M Cuellar, ...","Molecules 20 (5), 8033-8047, 2015"
Antioxidant and anti-cancer activities of brown and red seaweed extracts from Chilean coasts,"A Miranda-Delgado, MJ Montoya, M Paz-Araos, M Mellado, J Villena, ...","Latin american journal of aquatic research 46 (2), 301-313, 2018"
Antifungal study of the resinous exudate and of meroterpenoids isolated from Psoralea glandulosa (Fabaceae),"A Madrid, L Espinoza, C González, M Mellado, J Villena, R Santander, ...","Journal of ethnopharmacology 144 (3), 809-811, 2012"
In vitro antioxidant and antiproliferative effect of the extracts of Ephedra chilensis K Presl aerial parts,"M Mellado, M Soto, A Madrid, I Montenegro, C Jara-Gutiérrez, J Villena, ...","BMC complementary and alternative medicine 19 (1), 53, 2019"
Biopesticide Activity from Drimanic Compounds to Control Tomato Pathogens,"I Montenegro, A Madrid, M Cuellar, M Seeger, J Alfaro, X Besoain, ...","Molecules 23 (8), 2053, 2018"
Hansch’s analysis application to chalcone synthesis by Claisen–Schmidt reaction based in DFT methodology,"M Mellado, A Madrid, Ú Martínez, J Mella, CO Salas, M Cuellar","Chemical Papers 72 (3), 703-709, 2018"
Psoralea glandulosa as a potential source of anticancer agents for melanoma treatment,"A Madrid, V Cardile, C González, I Montenegro, J Villena, S Caggia, ...","International journal of molecular sciences 16 (4), 7944-7959, 2015"
Antiphytopathogenic activity of Psoralea glandulosa (Fabaceae) against Botrytis cinerea and Phytophthora cinnamomi,"A Madrid Villegas, K Díaz Peralta, C González Tapia, K Catalán Marín, ...","Natural product research 29 (6), 586-588, 2015"
Antioxidant effects of Muehlenbeckia hastulata J.(polygonaceae) extracts,"M Mellado, A Madrid, C Jara, L Espinoza","Journal of the Chilean Chemical Society 57 (3), 1301-1304, 2012"
Evaluation of the antioxidant capacity of Psoralea glandulosa L.(Fabaceae) extracts,"AM Madrid, LJ Espinoza, MA Mellado, ME Osorio, IJ Montenegro, CE Jara","Journal of the Chilean Chemical Society 57 (3), 1328-1332, 2012"
Antigrowth activity and induction of apoptosis in human melanoma cells by Drymis winteri forst extract and its active components,"A Russo, V Cardile, ACE Graziano, R Avola, I Montenegro, M Cuellar, ...","Chemico-biological interactions 305, 79-85, 2019"
Antifeedant effect of polygodial and drimenol derivatives against Spodoptera frugiperda and Epilachna paenulata and quantitative structure‐activity analysis,"IJ Montenegro, S del Corral, GN Diaz Napal, MC Carpinella, M Mellado, ...","Pest management science 74 (7), 1623-1629, 2018"
Binary firefly algorithm for the set covering problem,"B Crawford, R Soto, MO Suárez, F Paredes, F Johnson","2014 9th Iberian Conference on Information Systems and Technologies (CISTI), 1-5, 2014"
Binary cat swarm optimization for the set covering problem,"B Crawford, R Soto, N Berríos, F Johnson, F Paredes","2015 10th Iberian Conference on Information Systems and Technologies (CISTI …, 2015"
Binary cat swarm optimization for the set covering problem,"B Crawford, R Soto, N Berríos, F Johnson, F Paredes","2015 10th Iberian Conference on Information Systems and Technologies (CISTI …, 2015"
A max–min ant system algorithm to solve the software project scheduling problem,"B Crawford, R Soto, F Johnson, E Monfroy, F Paredes","Expert Systems with Applications 41 (15), 6634-6645, 2014"
Solving the set covering problem with a shuffled frog leaping algorithm,"B Crawford, R Soto, C Peña, W Palma, F Johnson, F Paredes","Asian Conference on Intelligent Information and Database Systems, 41-50, 2015"
An improved particle swarm optimization algorithm for the VRP with simultaneous pickup and delivery and time windows,"C Lagos, G Guerrero, E Cabrera, A Moltedo, F Johnson, F Paredes","IEEE Latin America Transactions 16 (6), 1732-1740, 2018"
Solving the non-unicost set covering problem by using cuckoo search and black hole optimization,"R Soto, B Crawford, R Olivares, J Barraza, I Figueroa, F Johnson, ...","Natural Computing 16 (2), 213-229, 2017"
A binary cuckoo search algorithm for solving the set covering problem,"R Soto, B Crawford, R Olivares, J Barraza, F Johnson, F Paredes","International work-conference on the interplay between natural and …, 2015"
Solving manufacturing cell design problems using a shuffled frog leaping algorithm,"R Soto, B Crawford, E Vega, F Johnson, F Paredes","The 1st International Conference on Advanced Intelligent System and …, 2016"
A binary fruit fly optimization algorithm to solve the set covering problem,"B Crawford, R Soto, C Torres-Rojas, C Peña, M Riquelme-Leiva, S Misra, ...","International Conference on Computational Science and Its Applications, 411-420, 2015"
Online control of enumeration strategies via bat algorithm and black hole optimization,"R Soto, B Crawford, R Olivares, S Niklander, F Johnson, F Paredes, ...","Natural Computing 16 (2), 241-257, 2017"
Using autonomous search for solving constraint satisfaction problems via new modern approaches,"R Soto, B Crawford, R Olivares, C Galleguillos, C Castro, F Johnson, ...","Swarm and Evolutionary Computation 30, 64-77, 2016"
Binarization methods for shuffled frog leaping algorithms that solve set covering problems,"B Crawford, R Soto, C Peña, M Riquelme-Leiva, C Torres-Rojas, ...","Software Engineering in Intelligent Systems, 317-326, 2015"
Boosting autonomous search for CSPs via skylines,"R Soto, B Crawford, W Palma, K Galleguillos, C Castro, E Monfroy, ...","Information Sciences 308, 38-48, 2015"
"Pre-processing, repairing and transfer functions can help binary electromagnetism-like algorithms","R Soto, B Crawford, A Munoz, F Johnson, F Paredes","Artificial intelligence perspectives and applications, 89-97, 2015"
Modified binary firefly algorithms with different transfer functions for solving set covering problems,"B Crawford, R Soto, M Riquelme-Leiva, C Peña, C Torres-Rojas, ...","Software Engineering in Intelligent Systems, 307-315, 2015"
Comparing local search algorithms for the beam angles selection in radiotherapy,"G Cabrera-Guerrero, C Lagos, E Cabrera, F Johnson, JM Rubio, ...","IEEE Access 6, 23701-23710, 2018"
Ant colony system for a problem in reverse logistic,"F Johnson, J Vega, G Cabrera, E Cabrera","Studies in Informatics and Control 24 (2), 133-140, 2015"
Automating configuration of convolutional neural network hyperparameters using genetic algorithm,"F Johnson, A Valderrama, C Valle, B Crawford, R Soto, R Ñanculef","IEEE Access 8, 156139-156152, 2020"
Solving the set covering problem with binary cat swarm optimization,"B Crawford, R Soto, N Berríos, F Johnson, F Paredes","International Conference in Swarm Intelligence, 41-48, 2015"
Historia de las instituciones políticas de Chile e Hispanoamérica,BB Lira,"Andrés Bello, 1986"
Vigencia de las Partidas en Chile,B Bravo Lira,"Revista de Estudios Histórico-Jurídicos, 2010"
El absolutismo ilustrado en Hispanoamérica: Chile (1760-1860): de Carlos III a Portales y Montt,B Bravo Lira,"Universitaria, 1994"
La difusión del Código Civil de Bello en los países de derecho castellano y portugués,B Bravo Lira,
El Derecho Indiano después de la Independencia en América española: legislación y doctrina jurídica,BB Lira,"Historia, 5-52, 1984"
El Estado de derecho en la Historia de Chile,BB Lira,"Ediciones Universidad Católica de Chile, 1996"
Del estado modernizador al estado subsidiario trayectoria institucional de Chile 1891-1995,B Bravo Lira,"Revista de Estudios Histórico-Jurídicos, 2010"
Bicentenario del Código Penal de Asustria: Su proyección desde el Danubio a Filipinas,B Bravo Lira,"Revista de estudios histórico-jurídicos, 115-155, 2004"
El Estado constitucional en Hispanoamérica (1811-1991),B Bravo Lira,"Santiago, 1992"
Judicatura e institucionalidad en Chile (1776-1876): del absolutismo ilustrado al liberalismo parlamentario,B Bravo Lira,"Revista de Estudios histórico-jurídicos, 2010"
"Estudios de derecho y cultura de abogados en Chile 1758-1998: tras la huella ius commune, la codificación y la descodificación en el Nuevo Mundo",B Bravo Lira,"Revista de estudios histórico-jurídicos, 85-106, 1998"
"La fortuna del código penal español de 1848, historia en cuatro actos y tres continentes: de Mello Freire y Zeiller a Vasconcelos y Seijas Lozano",B Bravo Lira,"Anuario de Historia del Derecho español, 23-58, 2004"
"Portales, el hombre y su obra: la consolidación del gobierno civil",BB Lira,"Editorial Jurídica de Chile, 1989"
